Country,Year,HappinessScore,LifeLadder,LogGDP,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment
Switzerland,2018,7.48,7.50858688354492,10.9759454727173,0.930290997028351,74.0999984741211,0.926414549350739,0.096368961036205,0.301259964704514,0.792225956916809,0.191520154476166,0.84997946023941
Taiwan Province of China,2018,6.446,6.46700477600098,,0.896458745002747,,0.741032779216766,,0.735970735549927,0.848398566246033,0.092695645987988,0.311722934246063
Tanzania,2018,3.231,3.44502329826355,7.92891120910645,0.675330400466919,57.5,0.80714213848114,0.141756519675255,0.611534059047699,0.762089312076569,0.221005499362946,0.914648473262787
Thailand,2018,6.008,6.01156187057495,9.73482894897461,0.873052418231964,67.1999969482422,0.904828250408173,0.251650214195251,0.906596004962921,0.843489408493042,0.198190212249756,0.605364441871643
Togo,2018,4.085,4.02289485931397,7.28740549087524,0.596353888511658,54.7000007629395,0.611966252326965,-0.007062926422805,0.808537721633911,0.608448624610901,0.446454375982285,0.323221206665039
Tunisia,2018,4.461,4.7411322593689,9.30447387695313,0.732953548431397,66.9000015258789,0.649680078029633,-0.203248903155327,0.840116620063782,0.59172660112381,0.365014284849167,0.349490463733673
Turkey,2018,5.373,5.1856894493103,10.1489171981812,0.84702730178833,66.8000030517578,0.528629064559937,-0.181653723120689,0.804878532886505,0.434654295444489,0.350773096084595,0.513677060604095
Turkmenistan,2018,5.247,4.62060165405273,9.74946403503418,0.984488964080811,62.2000007629395,0.857774078845978,0.237279802560806,,0.612210273742676,0.189024537801743,
Uganda,2018,4.189,4.32171487808228,7.45870923995972,0.739841043949127,55.7000007629395,0.728512763977051,0.088241368532181,0.856106221675873,0.685168504714966,0.390319228172302,0.503853440284729
Ukraine,2018,4.332,4.66190910339356,9.0120267868042,0.900936722755432,64.5999984741211,0.663055062294006,-0.055041961371899,0.942960739135742,0.608771085739136,0.221851482987404,0.079710058867931
